item,product,unitmark
정육_햄,이거네 소갈비살 스테이크,200G
소스류,가나다진마늘,250G
정육_햄,국내산 안동식 순살찜닭,1KG
우유,매일 우유 오리지널 후레쉬팩,900ML
정육_햄,하림 닭가슴살 블랙페퍼,110G
우유,이마트 진심을 담은 우유,2300ML
아이스크림,탤리스 녹차아이스크림,1L
우유,깔끔한 저지방,185ML
소스류,풀무원 국산콩 청국장 찌개양념,130G
반찬,뚝배기불고기,550G
냉동식품,씨제이 고메 피자호떡만두,600G
우유,매일 아몬드브리즈 오리지널,190ML
우유,서울우유 딸기멸균,200ML
반찬,꼴뚜기젓갈,400G
우유,비락우유신선배송키트 가구형, 
사탕,제주농인 과일맛 종합 캔디,750G
냉동식품,씨제이 비비고 도톰해물완자,510G
정육_햄,의성마늘비엔나,320G
빵,크라상쁘띠, 
치즈,이마트 진심을 담은 쫄깃한 슈레드 모짜렐라 치즈,1KG
사탕,베이블레이드 스핀캔디,26G
냉동식품,동원 리얼통살새우까스,60G
기타간식,돌 워터젤리복숭아,130ML
과자,꼬깔콘 매콤달콤한맛,166G
기타간식,돌핀 폴라레티헬로썸머,400ML
빵,프랑스 프리미엄 머핀 초콜릿 헤이즐넛필링 냉동빵,95G
냉동식품,피코크 겹겹이돈까스,520G
정육_햄,구운 에어 치킨 닭다리살국내산,500G
반찬,건고사리나물볶음, 
우유,매일 아몬드브리즈 언스위트,190ML
아이스크림,죠스바 아이스크림, 
과자,유기농 쌀로 만든 쌀이팡 자색고구마,39G
반찬,풍림 반숙계란장,400G
사탕,포스 마이쮸딸기,132G
반찬,백김치,1900G
김치,씨제이 비비고 김치볶음,150G
기타간식,사과블루베리 동결건조 스낵, 
과자,피코크 저지방 자연 콘 스낵,155G
정육_햄,김해축협 한돈양념불고기냉동,1KG
반찬,숙 장아찌 돼지감자,350G
사탕,코피코 캔디 카푸치노,120G
빵,하루노유키 바움쿠헨 행운의 케익 플레인, 
빵,삼립 냉동 블루베리 요거트 왕슈, 
사탕,츄파춥스 미니언즈,12G
사탕,라카아메,146G
아이스크림,망고 소르베 미니컵,100ML
기타간식,시나몬슈가 페스트리스틱,907G
치즈,에루 키즈 포션 치즈,80G
사탕,포스 리콜라 크랜베리,80G
빵,소프트제리롤 월넛파운드, 
정육_햄,존쿡 이탈리안살라미,50G
빵,녹차생크림단팥빵, 
아이스크림,아이스노이에 말차 아이스크림, 
반찬,피코크 정통 인도식 커리 징가 마살라,190G
소스류,피코크 제대로 맛을 내는 순두부찌개 양념,140G
소스류,속초 두레찬 낙지젓갈,500G
과자,노브랜드 팝콘,100G
냉동식품,해태 고향만두,1560G
냉동식품,피코크 사천 왕 만두,140G
우유,비타민디,900ML
냉동식품,오뚜기 맛있는 오리지널 핫도그,400G
사탕,스코 롯데아이스브레이커스듀오그레이프,36G
정육_햄,동원냉장냉동 본엠 통그릴부어스트,500G
빵,호두파이 대, 
냉동식품,해물완자,780G
빵,삼립 뉴욕치즈무스, 
과자,씨제이 맥스칩 오리지널가든,40G
정육_햄,늘참 고추장 삼겹 구이,900G
과자,매운새우깡,90G
기타간식,씨제이 쁘띠첼 요거젤리 복숭아,90G
우유,서울우유 멸균우유,1000ML
과자,미니프레즐 솔트, 
빵,마스카포네와 크림 치즈가 어우러진 정통 수제 치즈케익 치즈트랩 더블프로마쥬 치즈케익세트, 
기타간식,피코크 벨기에 정통 다크초콜릿,100G
과자,오리온 감자엔소스닷 청양데리야끼,144G
냉동식품,피코크 만두연구소 평양왕만두,700G
김치,씨제이제일제당 비비고 포기배추김치,33KG
소스류,동광 젓갈 골라담기, 
소스류,제주하루미 전통젓갈,200G
과자,리코스 라운드 나쵸칩,454G
우유,내추럴초이스 아밀키 어나더밀크 아몬드 쇼콜라,500ML
빵,삼립 소프트 치즈케익 미니,400G
치즈,프란시아 모짜렐라,125G
반찬,영덕게살 게살장 게딱지장 게간장 세트, 
냉동식품,피코크 조선호텔 맛 김치,80G
냉동식품,개성감자만두,1350G
반찬,수원식갈비닭강정, 
치즈,제라드 까망베르치즈,125G
빵,프랑스 프리미엄 바게트 샌드위치 파베이크,140G
정육_햄,국내산 수제 양념 돼지갈비,1KG
우유,네슬레 마일로,495G
과자,농심 감자깡,75G
기타간식,깨구름찰떡,55G
김치,우리존 열우물 연근 동치미,4500G
빵,큐원 베이킹파우더,170G
과자,노브랜드 감자 칩 오리지날,110G
과자,크라운 카라멜콘땅콩,72G
김치,해뜰식품 자연이 만든 해뜰 겉절이 김치,2KG
기타간식,씨제이 쁘띠첼 파인애플,90G
치즈,뽀로로 칼슘왕 치즈,180G
치즈,동원 하루두장 뼈가 좋아하는 고칼슘치즈,270G
과자,티카 칩스 칠로에,212G
빵,삼립 토스트를 위해 태어난 식빵,760G
빵,프랑스 프리미엄 라이브레드 파베이크,45G
과자,크라운 참쌀설병,270G
반찬,삼양 핵불닭 떡볶이 용기,190G
사탕,츄파춥스 미니,220G
빵,롯데 기린 맘스 둥근달,200G
소스류,피코크 제대로 맛을 내는 갈치 조림 양념,140G
사탕,독일 포도당캔디 뉴트리크라프트 스포츠 포도당정,420G
정육_햄,이봉원 안창살구이,300G
정육_햄,알차닭 닭가슴살스테이크 갈릭,100G
정육_햄,피코크 울트라 빅 할라피뇨 후랑크 소시지,90G
과자,프링글스 오리지날,110G
빵,네니아플러스 네니아우리밀흑미찐빵,400G
기타간식,아이스 고구마 맛탕,80G
아이스크림,허쉬 토피넛앤초코바, 
기타간식,오리온 오그래놀라바 검은콩,120G
치즈,카카오 치즈 큐빅 햄맛,84G
김치,더김치 백김치,1900G
김치,포기김치,4500G
우유,덴마크 츄썸키위,180ML
치즈,미니 에담스틱,120G
우유,무항생제인증 바른목장 멸균우유,1000ML
김치,마음심은 이종임 열무김치,5KG
우유,매일 상하목장 유기농우유,125ML
냉동식품,개성담백왕교자,400G
치즈,프란시아 리코타,250G
김치,종가집 유기농 썰은백김치,400G
반찬,건표고버섯볶음, 
김치,종가집 열무김치,2500G
소스류,피코크 제대로 맛을 내는 해물탕 양념 소스,140G
반찬,피코크 고기 완자 전,450G
사탕,캬라멜 녹차,149G
사탕,커피고 카푸치노 캔디,160G
정육_햄,씨제이 맥스봉 청양고추 후랑크,90G
과자,닭다리 후라이드치킨맛,66G
사탕,옛날사탕,4KG
빵,아침애샌드위치식빵, 
우유,매일유업 상하목장 슬로우 밀크 저지방,930ML
정육_햄,동원 캠핑통그릴두툼베이컨,300G
빵,삼립 아침엔 밀크토스트,330G
과자,꼬깔콘 고소한맛,72G
김치,김순자 김치명장 한성깍뚜기,4KG
치즈,수제 딸기 크림치즈, 
기타간식,피코크 오리지날따봉,990G
빵,점보 샌드위치,166G
빵,씨제이 쁘띠첼 치즈케이크 블루베리,97G
아이스크림,피코크 젤라또 카라멜,946ML
소스류,다담정통된장찌개전용,140G
사탕,캬라멜 밀크,149G
반찬,하남쭈꾸미,350G
반찬,피코크 오징어 채 조림,100G
사탕,말랑카우 솜사탕,50G
아이스크림,주물러 콜라 아이스크림, 
빵,브레드샵 피터스 블루베리베이글, 
김치,더김치 배추물김치,2KG
정육_햄,직화 불곱창,200G
과자,닭다리 너겟,130G
정육_햄,본래직화 불곱창,200G
반찬,더반찬 낙지젓, 
사탕,스코 롯데아이스브레이커듀오워터멜론,36G
소스류,씨제이 다담 순두부찌개 양념,140G
치즈,페이장 브르통 브리치즈,375G
과자,자가비 에그크랩,90G
빵,정통뉴욕 아지아고 치즈 베이글 파베이크,113G
우유,맛있는우유지티 멸균,200ML
사탕,추억의 수제 달고나,20G
기타간식,노브랜드 사과젤리,500G
빵,후앙 올리브 치아바타, 
빵,노브랜드 초코 크림 케익,440G
우유,매일 이에스엘 우유,500ML
아이스크림,나뚜루 제주녹차콘,160ML
정육_햄,노브랜드 참나무 훈제 닭다리,170G
정육_햄,상품 미트원 언양식소불고기세트,2KG
빵,삼립 미니꿀호떡,322G
사탕,퍼지락 크리스탈 자일리톨 캔디 버블껌, 
김치,참다올 전라도광주김치 묵은지,2KG
빵,폭신폭신우유식빵, 
우유,삼양 저지방 우유,900ML
사탕,디저트사탕 누룽지사탕,2KG
냉동식품,쌀 물만두,1KG
과자,자가비허브솔트,90G
정육_햄,크라제 비프 스테이크,170G
치즈,카카오 치즈 큐빅 플레인,84G
아이스크림,끌레도르 바닐라파인트,474ML
빵,촉촉한 카스테라 호두과자,650G
정육_햄,늘참 양념 돼지 불고기,300G
빵,삼립 냉동 정통와플 미니, 
기타간식,프리미엄 귀리쉐이크,240G
기타간식,고단백 통곡물바 단백할시간 블랙,35G
반찬,숙 장아찌 명이나물,350G
소스류,나래식품 웰빙오징어젓,300G
사탕,웨더스 오리지날,90G
빵,큐원 밀크 컴파운드 버튼,150G
빵,통팥 듬뿍 소문난 전설의 떡붕어,75G
냉동식품,소담고기만두,405G
사탕,리콜라 레몬민트 무설탕,342G
냉동식품,동원 수제돈까스,500G
반찬,청보마을 계명대학 프리미엄 발효 낫또,55G
우유,무항생제 인증 바른목장우유,125ML
아이스크림,아맛나 아이스크림, 
과자,쌀로별 사르르라이스칩 인절미맛,120G
냉동식품,동원 개성 왕새우만두,350G
우유,무항생제인증 바른목장 바나나 멸균우유,125ML
아이스크림,하겐다즈 솔티드바닐라 미니바, 
빵,서울식품 고구마앙금페스츄리,80G
과자,소프트 팝콘, 
빵,프랑스 프리미엄 블루베리 머핀 냉동빵,75G
사탕,멘토스 믹스그레이프,81G
빵,진한 초콜릿 파운드 흑임자 세트, 
정육_햄,피코크 제주 흑 돼지 햄,340G
사탕,아몬드 누가 씨쏠트 카라멜, 
소스류,나래식품 미더덕쌈젓,300G
빵,겹겹이 구뭐낸 피레네 플레인 바움쿠헨 조각케익,150G
냉동식품,씨제이 비비고 찐만두,168G
김치,대복 총각김치,3KG
반찬,오이소박이,800G
김치,씨제이제일제당 비비고 총각김치,900G
과자,오리온 포카칩 어니언맛,66G
빵,미니도넛,90G
사탕,커피고 캔디 카푸치노,160G
소스류,속초 두레찬 백명란 젓갈,500G
정육_햄,클라식소시지 수제 생 베이컨 크럼블,500G
