,product,words,words_tagging,syllables,syllables_tagging
0,이거네 소갈비살 스테이크,"['이거네', ' ', '소갈비살', ' ', '스테이크']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['이', '거', '네', ' ', '소', '갈', '비', '살', ' ', '스', '테', '이', '크']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
1,가나다진마늘,['가나다진마늘'],['PRD_B'],"['가', '나', '다', '진', '마', '늘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
2,안동식 순살찜닭,"['안동식', ' ', '순살찜닭']","['PRD_B', 'PRD_I', 'PRD_I']","['안', '동', '식', ' ', '순', '살', '찜', '닭']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
3,하림 블랙페퍼,"['하림', ' ', '블랙페퍼']","['PRD_B', 'PRD_I', 'PRD_I']","['하', '림', ' ', '블', '랙', '페', '퍼']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
4,탤리스 녹차아이스크림,"['탤리스', ' ', '녹차아이스크림']","['PRD_B', 'PRD_I', 'PRD_I']","['탤', '리', '스', ' ', '녹', '차', '아', '이', '스', '크', '림']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
5,풀무원 국산콩 청국장 찌개양념,"['풀무원', ' ', '국산콩', ' ', '청국장', ' ', '찌개양념']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['풀', '무', '원', ' ', '국', '산', '콩', ' ', '청', '국', '장', ' ', '찌', '개', '양', '념']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
6,뚝배기불고기,['뚝배기불고기'],['PRD_B'],"['뚝', '배', '기', '불', '고', '기']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
7,씨제이 만두,"['씨제이', ' ', '만두']","['PRD_B', 'PRD_I', 'PRD_I']","['씨', '제', '이', ' ', '만', '두']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
8,아몬드 오리지널 우유,"['아몬드', ' ', '오리지널', ' ', '우유']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['아', '몬', '드', ' ', '오', '리', '지', '널', ' ', '우', '유']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
9,서울우유 딸기맛,"['서울우유', ' ', '딸기맛']","['PRD_B', 'PRD_I', 'PRD_I']","['서', '울', '우', '유', ' ', '딸', '기', '맛']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
