product,words,words_tagging,syllables,syllables_tagging
츄파춥스 사탕,"['츄파춥스', ' ', '사탕']","['PRD_B', '-', 'PRDG_B']","['츄', '파', '춥', '스', ' ', '사', '탕']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
돼지껍데기,['돼지껍데기'],['PRD_B'],"['돼', '지', '껍', '데', '기']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
미니캔디 사탕,"['미니캔디', ' ', '사탕']","['PRD_B', '-', 'PRDG_B']","['미', '니', '캔', '디', ' ', '사', '탕']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
이마트 미니캔디 사탕,"['이마트', ' ', '미니캔디', ' ', '사탕']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['이', '마', '트', ' ', '미', '니', '캔', '디', ' ', '사', '탕']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
촉촉닭가슴살,['촉촉닭가슴살'],['PRD_B'],"['촉', '촉', '닭', '가', '슴', '살']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
다향 촉촉닭가슴살,"['다향', ' ', '촉촉닭가슴살']","['PRD_B', 'PRD_I', 'PRD_I']","['다', '향', ' ', '촉', '촉', '닭', '가', '슴', '살']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
단백질바,['단백질바'],['PRD_B'],"['단', '백', '질', '바']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
치토스 매콤달콤한맛,"['치토스', ' ', '매콤달콤한맛']","['PRD_B', 'PRD_I', 'PRD_I']","['치', '토', '스', ' ', '매', '콤', '달', '콤', '한', '맛']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
멸균 아인슈타인 베이비,"['멸균', ' ', '아인슈타인', ' ', '베이비']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['멸', '균', ' ', '아', '인', '슈', '타', '인', ' ', '베', '이', '비']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
남양 멸균 아인슈타인 베이비,"['남양', ' ', '멸균', ' ', '아인슈타인', ' ', '베이비']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['남', '양', ' ', '멸', '균', ' ', '아', '인', '슈', '타', '인', ' ', '베', '이', '비']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
